sample,seconds,register,value
340050,7.710884353741497,0x33,0x80
340067,7.711269841269841,0x34,0x80
340084,7.711655328798186,0x35,0x80
340116,7.712380952380952,0x37,0x50
340723,7.726145124716553,0x30,0x0C
340771,7.727233560090703,0x33,0x54
340788,7.727619047619048,0x34,0x54
340805,7.7280045351473925,0x35,0x54
340838,7.72875283446712,0x37,0x24
341446,7.742539682539682,0x30,0x00
341494,7.743628117913832,0x33,0x28
341511,7.744013605442177,0x34,0x28
341528,7.7443990929705215,0x35,0x28
341560,7.745124716553288,0x2F,0x1D
341563,7.745192743764172,0x37,0xF8
341632,7.746757369614513,0xE1,0x2F
341634,7.746802721088436,0xE9,0x4F
341635,7.746825396825397,0xF1,0x2F
341637,7.74687074829932,0xF9,0x2F
342168,7.75891156462585,0x28,0x4D
342170,7.758956916099773,0x30,0xF8
342187,7.759342403628118,0x29,0x41
342216,7.76,0xE1,0x26
342223,7.7601587301587305,0xF1,0x46
342230,7.76031746031746,0xE9,0x25
342238,7.760498866213152,0xF9,0x28
342242,7.760589569160998,0x08,0x79
342269,7.761201814058957,0x2B,0x2D
342271,7.76124716553288,0x33,0xFC
342288,7.761632653061224,0x2C,0x26
342290,7.761678004535147,0x34,0xFC
342306,7.762040816326531,0x2D,0x1D
342309,7.762108843537415,0x35,0xFC
342341,7.762834467120181,0x37,0xCC
342890,7.775283446712018,0x28,0x4E
342892,7.775328798185941,0x30,0x00
342940,7.776417233560091,0x33,0xD0
342957,7.776802721088435,0x34,0xD0
342974,7.77718820861678,0x35,0xD0
343007,7.777936507936508,0x37,0xA0
343613,7.7916780045351475,0x30,0x0C
343661,7.792766439909297,0x33,0xB4
343678,7.793151927437641,0x34,0xB4
343695,7.793537414965987,0x35,0xB4
343728,7.7942857142857145,0x37,0x84
344338,7.808117913832199,0x30,0x18
344386,7.809206349206349,0x33,0xE0
344403,7.809591836734694,0x34,0xE0
344420,7.809977324263039,0x35,0xE0
344452,7.8107029478458045,0x37,0xB0
345059,7.8244671201814056,0x30,0x20
345096,7.825306122448979,0x08,0x02
345108,7.825578231292517,0x2B,0x2E
345110,7.82562358276644,0x33,0x0C
345127,7.826009070294784,0x2C,0x28
345129,7.826054421768707,0x34,0x0C
345145,7.826417233560091,0x2D,0x1E
345148,7.826485260770975,0x35,0x0C
345180,7.827210884353741,0x37,0xDC
345782,7.8408616780045355,0x30,0x2C
345830,7.841950113378685,0x33,0x38
345847,7.842335600907029,0x34,0x38
345864,7.842721088435374,0x35,0x38
345896,7.843446712018141,0x2F,0x1E
345899,7.8435147392290245,0x37,0x08
345990,7.845578231292517,0xE2,0x2F
345992,7.84562358276644,0xEA,0x4F
345993,7.845646258503401,0xF2,0x2F
345995,7.845691609977324,0xFA,0x2F
346503,7.857210884353742,0x30,0x38
346535,7.8579365079365076,0x2A,0x40
346565,7.8586167800453515,0xE2,0x26
346572,7.858775510204081,0xF2,0x46
346579,7.858934240362812,0xEA,0x25
346587,7.859115646258504,0xFA,0x28
346591,7.8592063492063495,0x08,0x7A
346603,7.859478458049886,0x33,0x64
346620,7.8598639455782315,0x34,0x64
346637,7.860249433106576,0x35,0x64
346669,7.860975056689343,0x37,0x34
347272,7.874648526077097,0x33,0x80
347289,7.875034013605442,0x34,0x80
347306,7.875419501133787,0x35,0x80
347338,7.876145124716554,0x37,0x50
347950,7.890022675736962,0x30,0x30
347998,7.891111111111111,0x33,0x58
348015,7.891496598639455,0x34,0x58
348032,7.891882086167801,0x35,0x58
