sample,seconds,register,value
18037,0.4090022675736961,0xE4,0xFF
18039,0.40904761904761905,0xEC,0x0F
18040,0.4090702947845805,0xF4,0x2F
18042,0.4091156462585034,0xFC,0x0F
18045,0.4091836734693878,0x1B,0x40
18472,0.41886621315192746,0x30,0xE0
18534,0.42027210884353744,0xE2,0xF4
18541,0.4204308390022676,0xF2,0x04
18548,0.4205895691609977,0xEA,0x24
18556,0.42077097505668937,0xFA,0x07
18560,0.42086167800453517,0x08,0x7A
18590,0.4215419501133787,0x7B,0x17
18601,0.42179138321995463,0xE3,0xF4
18608,0.4219501133786848,0xF3,0x04
18615,0.42210884353741496,0xEB,0x24
18623,0.42229024943310656,0xFB,0x07
18627,0.42238095238095236,0x08,0x7B
18657,0.42306122448979594,0x7C,0x1A
18668,0.4233106575963719,0xE4,0xF4
18675,0.42346938775510207,0xF4,0x04
18682,0.4236281179138322,0xEC,0x24
18690,0.4238095238095238,0xFC,0x07
18694,0.4239002267573696,0x08,0x7C
19196,0.43528344671201813,0x30,0xC8
19918,0.45165532879818593,0x30,0xAC
20640,0.46802721088435373,0x30,0x90
21362,0.4843990929705215,0x28,0x64
21364,0.48444444444444446,0x30,0x1C
22085,0.5007936507936508,0x30,0x38
22809,0.5172108843537415,0x30,0x54
22830,0.5176870748299319,0x08,0x01
22847,0.5180725623582766,0x08,0x02
23035,0.5223356009070295,0x1B,0x80
23050,0.5226757369614512,0x1B,0x40
23530,0.5335600907029479,0x30,0x70
23725,0.5379818594104309,0x1B,0x80
23742,0.5383673469387755,0x1B,0x40
23759,0.5387528344671202,0x1B,0x80
23776,0.5391383219954649,0x1B,0x40
24252,0.5499319727891157,0x30,0x88
24305,0.5511337868480726,0x7B,0x23
24311,0.5512698412698412,0x08,0x03
24327,0.5516326530612244,0x7C,0x25
24333,0.5517687074829932,0x08,0x04
24975,0.5663265306122449,0x30,0xA4
25139,0.5700453514739229,0x1B,0x80
25155,0.5704081632653061,0xE9,0x0F
25156,0.5704308390022675,0xF1,0x0F
25158,0.5704761904761905,0xF9,0x0F
25161,0.5705442176870749,0x1B,0x40
25181,0.5709977324263038,0x1B,0x80
25200,0.5714285714285714,0xE2,0xFF
25202,0.5714739229024943,0xEA,0x0F
25203,0.5714965986394558,0xF2,0x2F
25205,0.5715419501133787,0xFA,0x0F
25208,0.571609977324263,0x1B,0x40
25259,0.5727664399092971,0x1B,0x80
25274,0.5731065759637188,0xE5,0x1F
25276,0.5731519274376418,0xED,0x2F
25277,0.5731746031746032,0xF5,0x1F
25279,0.573219954648526,0xFD,0x0F
25282,0.5732879818594104,0x1B,0x40
25697,0.5826984126984127,0x30,0x14
25751,0.5839229024943311,0xF1,0x01
25758,0.5840816326530612,0xE9,0x01
25766,0.5842630385487528,0xF9,0x01
25770,0.5843537414965987,0x08,0x79
25781,0.5846031746031746,0x2A,0x24
25800,0.5850340136054422,0x7A,0x0F
25811,0.5852834467120182,0xE2,0xF4
25818,0.5854421768707483,0xF2,0x04
25825,0.5856009070294784,0xEA,0x24
25833,0.58578231292517,0xFA,0x07
25837,0.5858730158730159,0x08,0x7A
25909,0.5875056689342404,0xE5,0x18
25916,0.5876643990929705,0xF5,0x27
25923,0.5878231292517007,0xED,0x17
25931,0.5880045351473923,0xFD,0x06
25935,0.5880952380952381,0x08,0x7D
26420,0.599092970521542,0x28,0x62
26422,0.5991383219954649,0x30,0xF8
26505,0.6010204081632653,0x08,0x05
27143,0.6154875283446712,0x30,0xE0
27865,0.631859410430839,0x30,0xC4
28587,0.6482312925170068,0x30,0xA8
29313,0.6646938775510204,0x30,0x90
30033,0.6810204081632653,0x28,0x64
30035,0.6810657596371882,0x30,0x20
30072,0.6819047619047619,0x08,0x02
30756,0.6974149659863945,0x30,0x3C
31480,0.7138321995464852,0x30,0x58
32200,0.7301587301587301,0x30,0x70
32379,0.7342176870748299,0x1B,0x80
32398,0.7346485260770975,0xE2,0xFF
32400,0.7346938775510204,0xEA,0x0F
32401,0.7347165532879819,0xF2,0x2F
32403,0.7347619047619047,0xFA,0x0F
32406,0.7348299319727891,0x1B,0x40
32426,0.7352834467120182,0x1B,0x80
32443,0.7356689342403628,0xE3,0xFF
32445,0.7357142857142858,0xEB,0x0F
32446,0.7357369614512471,0xF3,0x2F
32448,0.73578231292517,0xFB,0x0F
32451,0.7358503401360544,0x1B,0x40
32471,0.7363038548752835,0x1B,0x80
32488,0.7366893424036282,0xE4,0xFF
32490,0.736734693877551,0xEC,0x0F
32491,0.7367573696145124,0xF4,0x2F
32493,0.7368027210884354,0xFC,0x0F
32496,0.7368707482993198,0x1B,0x40
32923,0.7465532879818594,0x30,0x8C
32955,0.7472789115646259,0x2A,0x38
32974,0.7477097505668934,0x7A,0x0C
32985,0.7479591836734694,0xE2,0xF4
32992,0.7481179138321995,0xF2,0x04
32999,0.7482766439909297,0xEA,0x24
33007,0.7484580498866213,0xFA,0x07
33011,0.7485487528344671,0x08,0x7A
